col1,col2
We describe a practical parser for unrestricted dependencies.,{}
The parser creates links between words and names the links according to their syntactic functions.,{}
We first describe the older Constraint Grammar parser where many of the ideas come from.,{}
Then we proceed to describe the central ideas of our new parser.,{}
"Finally, the parser is evaluated.",{}
We are concerned with surface-syntactic parsing of running text.,"{'title': '1 Introduction', 'number': '1'}"
Our main goal is to describe syntactic analyses of sentences using dependency links that show the head-modifier relations between words.,"{'title': '1 Introduction', 'number': '1'}"
"In addition, these links have labels that refer to the syntactic function of the modifying word.","{'title': '1 Introduction', 'number': '1'}"
"A simplified example is in Figure 1, where the link between I and see denotes that I is the modifier of see and its syntactic function is that of subject.","{'title': '1 Introduction', 'number': '1'}"
"Similarly, a modifies bird, and it is a determiner.","{'title': '1 Introduction', 'number': '1'}"
"First, in this paper, we explain some central concepts of the Constraint Grammar framework from which many of the ideas are derived.","{'title': '1 Introduction', 'number': '1'}"
"Then, we give some linguistic background to the notations we are using, with a brief comparison to other current dependency formalisms and systems.","{'title': '1 Introduction', 'number': '1'}"
"New formalism is described briefly, and it is utilised in a small toy grammar to illustrate how the formalism works.","{'title': '1 Introduction', 'number': '1'}"
"Finally, the real parsing system, with a grammar of some 2 500 rules, is evaluated.","{'title': '1 Introduction', 'number': '1'}"
"The parser corresponds to over three man-years of work, which does not include the lexical analyser and the morphological disambiguator, both parts of the existing English Constraint Grammar parser (Karlsson et al., 1995).","{'title': '1 Introduction', 'number': '1'}"
The parsers can be tested via WWW'.,"{'title': '1 Introduction', 'number': '1'}"
Our work is partly based on the work done with the Constraint Grammar framework that was originally proposed by Fred Karlsson (1990).,"{'title': '2 Background', 'number': '2'}"
A detailed description of the English Constraint Grammar (ENGCG) is in Karlsson et al. (1995).,"{'title': '2 Background', 'number': '2'}"
"The basic rule types of the Constraint Grammar (Tapanainen, 1996)2 are REMOVE and SELECT for discarding and selecting an alternative reading of a word.","{'title': '2 Background', 'number': '2'}"
Rules also have contextual tests that describe the condition according to which they may be applied.,"{'title': '2 Background', 'number': '2'}"
"For example, the rule discards a verb (V) reading if the preceding word (-1) is unambiguously (C) a determiner (DET).","{'title': '2 Background', 'number': '2'}"
More than one such test can be appended to a rule.,"{'title': '2 Background', 'number': '2'}"
The rule above represents a local rule: the test checks only neighbouring words in a foreknown position before or after the target word.,"{'title': '2 Background', 'number': '2'}"
The test may also refer to the positions somewhere in the sentence without specifying the exact location.,"{'title': '2 Background', 'number': '2'}"
"For instance,","{'title': '2 Background', 'number': '2'}"
means that a nominal head (NOM-HEAD is a set that contains part-of-speech tags that may represent a nominal head) may not appear anywhere to the left (NOT *-1).,"{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"This &quot;anywhere&quot; to the left or right may be restricted by BARRIERs, which restrict the area of the test.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"Basically, the barrier can be used to limit the test only to the current clause (by using clause boundary markers and &quot;stop words&quot;) or to a constituent (by using &quot;stop categories&quot;) instead of the whole sentence.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"In addition, another test may be added relative to the unrestricted context position using keyword LINK.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"For example, the following rule discards the syntactic function' CI-OBJ (indirect object): The rule holds if the closest finite verb to the left is unambiguously (C) a finite verb (VFIN), and there is no ditransitive verb or participle (subcategorisation SV00) between the verb and the indirect object.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"If, in addition, the verb does not take indirect objects, i.e. there is no SVO0 in the same verb (LINK NOT 0 SV00), the CI-OBJ reading will be discarded.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"In essence, the same formalism is used in the syntactic analysis in Jarvinen (1994) and Anttila (1995).","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"After the morphological disambiguation, all legitimate surface-syntactic labels are added to the set of morphological readings.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"Then, the syntactic rules discard contextually illegitimate alternatives or select legitimate ones.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
The syntactic tagset of the Constraint Grammar provides an underspecific dependency description.,"{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"For example, labels for functional heads (such as CSUBJ, COBJ, CI-OBJ) mark the word which is a head of a noun phrase having that function in the clause, but the parent is not indicated.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"In addition, the representation is shallow, which means that, e.g., objects of infinitives and participles receive the same type of label as objects of finite verbs.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"On the other hand, the non-finite verb forms functioning as objects receive only verbal labels.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"When using the grammar formalism described above, a considerable amount of syntactic ambiguity can not be resolved reliably and is therefore left pending in the parse.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"As a consequence, the output is not optimal in many applications.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"For example, it is not possible to reliably pick head-modifier pairs from the parser output or collect arguments of verbs, which was one of the tasks we originally were interested in.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"To solve the problems, we developed a more powerful rule formalism which utilises an explicit dependency representation.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"The basic Constraint Gram'The convention in the Constraint Grammar is that the tags for syntactic functions begin with the 0-sign. mar idea of introducing the information in a piecemeal fashion is retained, but the integration of different pieces of information is more efficient in the new system.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"3 Dependency grammars in a nutshell Our notation follows the classical model of dependency theory (Heringer, 1993) introduced by Lucien Tesniere (1959) and later advocated by Igor Mel'auk (1987).","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
In Tesniere's and Mel'auk's dependency notation every element of the dependency tree has a unique head.,"{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
The verb serves as the head of a clause and the top element of the sentence is thus the main verb of the main clause.,"{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"In some other theories, e.g.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"Hudson (1991), several heads are allowed.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"Projectivity (or adjacency4) was not an issue for Tesniere (1959, ch.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"10), because he thought that the linear order of the words does not belong to the syntactic level of representation which comprises the structural order only.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"Some early formalisations, c.f.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"(Hays, 1964), have brought the strict projectivity (context-free) requirement into the dependency framework.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"This kind of restriction is present in many dependency-based parsing systems (McCord, 1990; Sleator and Ternperley, 1991; Eisner, 1996).","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"But obviously any recognition grammar should deal with non-projective phenomena to the extent they occur in natural languages as, for example, in the analysis shown in Figure 2.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"Our system has no in-built restrictions concerning projectivity, though the formalism allows us to state when crossing links are not permitted.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"We maintain that one is generally also interested in the linear order of elements, and therefore it is presented in the tree diagrams.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"But, for some purposes, presenting all arguments in a canonical order might be more adequate.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"This, however, is a matter of output formatting, for which the system makes several options available.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
The verbs (as well as other elements) have a valency that describes the number and type of the modifiers they may have.,"{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"In valency theory, usually, complements (obligatory) and adjuncts (optional) are distinguished.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
Our notation makes a difference between valency (rule-based) and subcategorisation (lexical): the valency tells which arguments are expected; the subcategorisation tells which combinations are legitimate.,"{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
The valency merely provides a possibility to have an argument.,"{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"Thus, a verb having three valency slots may have e.g. subcategorisation SVOO or SVOC.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
"The former denotes: Subject, Verb, indirect Object and Object, and the latter: Subject, Verb, Object and Object Complement.","{'title': 'SELECT (IMP) IF (NOT *-1 NOM-HEAD);', 'number': '3'}"
