col1,col2
"The unique properties of lree-adjoining grammars (TAG) present a challenge for the application of 'FAGs beyond the limited confines of syntax, for instance, to the task of semantic interpretation or automatic translation of nat- ural h'mguage.",{}
"We present a variant of ""FAGs, called synchronous TAGs, which chmacterize correspondences between languages.",{}
"""lq\]e formalism's intended usage is to relate expressions of natural anguages to their associ- ated semantics represented in a logical tbrm language, or to their translates in another natural anguage; in sum- mary, we intend it to allow TAGs to be used beyond their role in syntax proper.",{}
"We discuss the application of synchronous TAGs to concrete examples, mention- ing primarily in passing some computational issues that tu:ise in its interpretation.",{}
"Tree-adjoining rammars (TAG) constitute a grammat- ical formalism with attractive properties for the strong characterization f the syntax of natural angtmges, that is, characterization of the analysis trees of the expres- sions in the language (Kroch and Joshi, 1985; Kroch, 1989)) Among these properties are that o The domain of locality in TAGs is larger than lot formalisms lhat augment context-free grammars (such as lexical-functkmal, or generalized or head- driven phrase-structure grammar), and ? The statements of dependencies and recursion pos- sibilities in a tree are factored, the former following from primitive dependencies in elementary trees, the latter a consequence of an operatkm of adjunc- tion of trees.","{'title': 'Introduction', 'number': '1'}"
"These unique properties of TAGs present a challenge tot the application of TAGs beyond the limited confines of syntax, for instance, to the task of semantic interpre- tation or automatic tr~mslation of natural anguage.","{'title': 'Introduction', 'number': '1'}"
The slandm'd methods of moving beyond syntax to interpre- tation make use in one way or another of the compo- sitional structure of the analysis tree that is manifested in the tree's derivation.,"{'title': 'Introduction', 'number': '1'}"
Any version of compositional 1We assume familiarity throughout the paper with previous work on TAGs.,"{'title': 'Introduction', 'number': '1'}"
"See, for instance, the introduction by Joshi (1987).","{'title': 'Introduction', 'number': '1'}"
"semantics, or syntax.directed translation relies on such a methodology to some extent.","{'title': 'Introduction', 'number': '1'}"
"However, in the case of TAGs, the compositional structure of the tree is not miro rored by its derivational structure, so that a method for constructing semantics based on the compositional syn- tactic structure will be inherently nonderivational, that is, construction of the semantics will be independent of the derivation of the tree, and therefore subsequent.","{'title': 'Introduction', 'number': '1'}"
"On the other hand, a method mirroring the deriva- tional structure will not necessarily be compositional with respect to tile derived structures of expressions.","{'title': 'Introduction', 'number': '1'}"
"AI+ tl~ough such a method would be quite different from ttle primarily compositional methods previously postulated, it may have advantages, given that certain aspects of language seem to be noncompositional.","{'title': 'Introduction', 'number': '1'}"
(See Section 4.),"{'title': 'Introduction', 'number': '1'}"
"In this paper, we present a varim~t of TAGs, called synchronous TAGs, which characterize correstxmdences between languages.","{'title': 'Introduction', 'number': '1'}"
"The formalism's intended usage is to relate expressions of natural anguages to their asso- ciated semantics represented in a logical form language, or to their translations in another natural language; in summary, we intend the formalism to allow TAGs to be used beyond their role in syntax proper.","{'title': 'Introduction', 'number': '1'}"
"We also discuss its application to concrete xamples, and mention some computational issues that arise in its interpretation.","{'title': 'Introduction', 'number': '1'}"
"mal Description Language interpretation tasks can be thought of as asso- ciating a syntactic analysis of a sentence with some other stmcture,---a logical form representation r an analysis of a target language sentence, perhaps.","{'title': 'Synchronous TAGs--An Infor-. ', 'number': '2'}"
Synchronous TAGs are defined so as to make such associations explicit.,"{'title': 'Synchronous TAGs--An Infor-. ', 'number': '2'}"
"The original language and its associated structures are both defined by grammars tated in a TAG formalism; the two TAGs are synchronous in the sense that adjunction and substitution operations are applied simultaneously to related nodes in pairs of trees, one for each language.","{'title': 'Synchronous TAGs--An Infor-. ', 'number': '2'}"
"For convenience, we will call the two languages ource and target languages, although the formalism is not in- herently directional.","{'title': 'Synchronous TAGs--An Infor-. ', 'number': '2'}"
"As an example, consider the task of relating a frag- ment of English with a simple representation of its predicate-argument structure.","{'title': 'Synchronous TAGs--An Infor-. ', 'number': '2'}"
A synchronous TAG for this purpose is given in Figure 1.,"{'title': 'Synchronous TAGs--An Infor-. ', 'number': '2'}"
