col1,col2
"Graph-based and transition-based approaches to dependency parsing adopt very different views of the problem, each view having its own strengths and limitations.",{}
We study both approaches under the framework of beamsearch.,{}
"By developing a graph-based and a transition-based dependency parser, we show that a beam-search decoder is a competitive choice for both methods.",{}
"More importantly, we propose a beam-search-based parser that combines both graph-based and transitionbased parsing into a single system for training and decoding, showing that it outperforms both the pure graph-based and the pure transition-based parsers.",{}
"Testing on the English and Chinese Penn Treebank data, the combined system gave state-of-the-art accuraof respectively.",{}
"Graph-based (McDonald et al., 2005; McDonald and Pereira, 2006; Carreras et al., 2006) and transition-based (Yamada and Matsumoto, 2003; Nivre et al., 2006) parsing algorithms offer two different approaches to data-driven dependency parsing.","{'title': '1 Introduction', 'number': '1'}"
"Given an input sentence, a graph-based algorithm finds the highest scoring parse tree from all possible outputs, scoring each complete tree, while a transition-based algorithm builds a parse by a sequence of actions, scoring each action individually.","{'title': '1 Introduction', 'number': '1'}"
"The terms “graph-based” and “transition-based” were used by McDonald and Nivre (2007) to describe the difference between MSTParser (McDonald and Pereira, 2006), which is a graph-based parser with an exhaustive search decoder, and MaltParser (Nivre et al., 2006), which is a transition-based parser with a greedy search decoder.","{'title': '1 Introduction', 'number': '1'}"
"In this paper, we do not differentiate graph-based and transitionbased parsers by their search algorithms: a graphbased parser can use an approximate decoder while a transition-based parser is not necessarily deterministic.","{'title': '1 Introduction', 'number': '1'}"
"To make the concepts clear, we classify the two types of parser by the following two criteria: By this classification, beam-search can be applied to both graph-based and transition-based parsers.","{'title': '1 Introduction', 'number': '1'}"
"Representative of each method, MSTParser and MaltParser gave comparable accuracies in the CoNLL-X shared task (Buchholz and Marsi, 2006).","{'title': '1 Introduction', 'number': '1'}"
"However, they make different types of errors, which can be seen as a reflection of their theoretical differences (McDonald and Nivre, 2007).","{'title': '1 Introduction', 'number': '1'}"
"MSTParser has the strength of exact inference, but its choice of features is constrained by the requirement of efficient dynamic programming.","{'title': '1 Introduction', 'number': '1'}"
"MaltParser is deterministic, yet its comparatively larger feature range is an advantage.","{'title': '1 Introduction', 'number': '1'}"
"By comparing the two, three interesting research questions arise: (1) how to increase the flexibility in defining features for graph-based parsing; (2) how to add search to transition-based parsing; and (3) how to combine the two parsing approaches so that the strengths of each are utilized.","{'title': '1 Introduction', 'number': '1'}"
"In this paper, we study these questions under one framework: beam-search.","{'title': '1 Introduction', 'number': '1'}"
"Beam-search has been successful in many NLP tasks (Koehn et al., 2003; Collins and Roark, 2004), and can achieve accuracy that is close to exact inference.","{'title': '1 Introduction', 'number': '1'}"
"Moreover, a beamsearch decoder does not impose restrictions on the search problem in the way that an exact inference decoder typically does, such as requiring the “optimal subproblem” property for dynamic programming, and therefore enables a comparatively wider range of features for a statistical system.","{'title': '1 Introduction', 'number': '1'}"
We develop three parsers.,"{'title': '1 Introduction', 'number': '1'}"
"Firstly, using the same features as MSTParser, we develop a graph-based parser to examine the accuracy loss from beamsearch compared to exact-search, and the accuracy gain from extra features that are hard to encode for exact inference.","{'title': '1 Introduction', 'number': '1'}"
Our conclusion is that beamsearch is a competitive choice for graph-based parsing.,"{'title': '1 Introduction', 'number': '1'}"
"Secondly, using the transition actions from MaltParser, we build a transition-based parser and show that search has a positive effect on its accuracy compared to deterministic parsing.","{'title': '1 Introduction', 'number': '1'}"
"Finally, we show that by using a beam-search decoder, we are able to combine graph-based and transition-based parsing into a single system, with the combined system significantly outperforming each individual system.","{'title': '1 Introduction', 'number': '1'}"
"In experiments with the English and Chinese Penn Treebank data, the combined parser gave 92.1% and 86.2% accuracy, respectively, which are comparable to the best parsing results for these data sets, while the Chinese accuracy outperforms the previous best reported by 1.8%.","{'title': '1 Introduction', 'number': '1'}"
"In line with previous work on dependency parsing using the Penn Treebank, we focus on projective dependency parsing.","{'title': '1 Introduction', 'number': '1'}"
"Following MSTParser (McDonald et al., 2005; McDonald and Pereira, 2006), we define the graphVariables: agenda – the beam for state items item – partial parse tree output – a set of output items index, prev – word indexes Input: x – POS-tagged input sentence.","{'title': '2 The graph-based parser', 'number': '2'}"
Initialization: agenda = [“”] put the best items from output to agenda Output: the best item in agenda based parsing problem as finding the highest scoring tree y from all possible outputs given an input x: where GEN(x) denotes the set of possible parses for the input x.,"{'title': '2 The graph-based parser', 'number': '2'}"
"To repeat our earlier comments, in this paper we do not consider the method of finding the arg max to be part of the definition of graph-based parsing, only the fact that the dependency graph itself is being scored, and factored into scores attached to the dependency links.","{'title': '2 The graph-based parser', 'number': '2'}"
The score of an output parse y is given by a linear model: where 4b(y) is the global feature vector from y and w is the weight vector of the model.,"{'title': '2 The graph-based parser', 'number': '2'}"
"We use the discriminative perceptron learning algorithm (Collins, 2002; McDonald et al., 2005) to train the values of w. The algorithm is shown in Figure 1.","{'title': '2 The graph-based parser', 'number': '2'}"
"Averaging parameters is a way to reduce overfitting for perceptron training (Collins, 2002), and is applied to all our experiments.","{'title': '2 The graph-based parser', 'number': '2'}"
"While the MSTParser uses exact-inference (Eisner, 1996), we apply beam-search to decoding.","{'title': '2 The graph-based parser', 'number': '2'}"
"This is done by extending the deterministic Covington algorithm for projective dependency parsing (Covington, 2001).","{'title': '2 The graph-based parser', 'number': '2'}"
"As shown in Figure 2, the decoder works incrementally, building a state item (i.e. partial parse tree) word by word.","{'title': '2 The graph-based parser', 'number': '2'}"
"When each word is processed, links are added between the current word and its predecessors.","{'title': '2 The graph-based parser', 'number': '2'}"
"Beam-search is applied by keeping the B best items in the agenda at each processing stage, while partial candidates are compared by scores from the graph-based model, according to partial graph up to the current word.","{'title': '2 The graph-based parser', 'number': '2'}"
"Before decoding starts, the agenda contains an empty sentence.","{'title': '2 The graph-based parser', 'number': '2'}"
"At each processing stage, existing partial candidates from the agenda are extended in all possible ways according to the Covington algorithm.","{'title': '2 The graph-based parser', 'number': '2'}"
The top B newly generated candidates are then put to the agenda.,"{'title': '2 The graph-based parser', 'number': '2'}"
"After all input words are processed, the best candidate output from the agenda is taken as the final output.","{'title': '2 The graph-based parser', 'number': '2'}"
The projectivity of the output dependency trees is guaranteed by the incremental Covington process.,"{'title': '2 The graph-based parser', 'number': '2'}"
"The time complexity of this algorithm is O(n2), where n is the length of the input sentence.","{'title': '2 The graph-based parser', 'number': '2'}"
"During training, the “early update” strategy of Collins and Roark (2004) is used: when the correct state item falls out of the beam at any stage, parsing is stopped immediately, and the model is updated using the current best partial item.","{'title': '2 The graph-based parser', 'number': '2'}"
"The intuition is to improve learning by avoiding irrelevant information: when all the items in the current agenda are incorrect, further parsing steps will be irrelevant because the correct partial output no longer exists in the candidate ranking.","{'title': '2 The graph-based parser', 'number': '2'}"
"Table 1 shows the feature templates from the MSTParser (McDonald and Pereira, 2006), which are defined in terms of the context of a word, its parent and its sibling.","{'title': '2 The graph-based parser', 'number': '2'}"
"To give more templates, features from templates 1 – 5 are also conjoined with the link direction and distance, while features from template 6 are also conjoined with the direction and distance between the child and its sibling.","{'title': '2 The graph-based parser', 'number': '2'}"
Here “distance” refers to the difference between word indexes.,"{'title': '2 The graph-based parser', 'number': '2'}"
We apply all these feature templates to the graph-based parser.,"{'title': '2 The graph-based parser', 'number': '2'}"
"In addition, we define two extra feature templates (Table 2) that capture information about grandchildren and arity (i.e. the number of children to the left or right).","{'title': '2 The graph-based parser', 'number': '2'}"
These features are not conjoined with information about direction and distance.,"{'title': '2 The graph-based parser', 'number': '2'}"
"They are difficult to include in an efficient dynamic programming decoder, but easy to include in a beam-search decoder.","{'title': '2 The graph-based parser', 'number': '2'}"
"We develop our transition-based parser using the transition model of the MaltParser (Nivre et al., 2006), which is characterized by the use of a stack and four transition actions: Shift, ArcRight, ArcLeft and Reduce.","{'title': '3 The transition-based parser', 'number': '3'}"
"An input sentence is processed from left to right, with an index maintained for the current word.","{'title': '3 The transition-based parser', 'number': '3'}"
"Initially empty, the stack is used throughout the parsing process to store unfinished words, which are the words before the current word that may still be linked with the current or a future word.","{'title': '3 The transition-based parser', 'number': '3'}"
The Shift action pushes the current word to the stack and moves the current index to the next word.,"{'title': '3 The transition-based parser', 'number': '3'}"
"The ArcRight action adds a dependency link from the stack top to the current word (i.e. the stack top becomes the parent of the current word), pushes the current word on to the stack, and moves the current index to the next word.","{'title': '3 The transition-based parser', 'number': '3'}"
"The ArcLeft action adds a dependency link from the current word to the stack top, and pops the stack.","{'title': '3 The transition-based parser', 'number': '3'}"
The Reduce action pops the stack.,"{'title': '3 The transition-based parser', 'number': '3'}"
"Among the four transition actions, Shift and ArcRight push a word on to the stack while ArcLeft and Reduce pop the stack; Shift and ArcRight read the next input word while ArcLeft and ArcRight add a link to the output.","{'title': '3 The transition-based parser', 'number': '3'}"
"By repeated application of these actions, the parser reads through the input and builds a parse tree.","{'title': '3 The transition-based parser', 'number': '3'}"
The MaltParser works deterministically.,"{'title': '3 The transition-based parser', 'number': '3'}"
"At each step, it makes a single decision and chooses one of the four transition actions according to the current context, including the next input words, the stack and the existing links.","{'title': '3 The transition-based parser', 'number': '3'}"
"As illustrated in Figure 3, the contextual information consists of the top of stack (ST), the parent (STP) of ST, the leftmost (STLC) and rightmost child (STRC) of ST, the current word (N0), the next three words from the input (N1, N2, N3) and the leftmost child of N0 (N0LC).","{'title': '3 The transition-based parser', 'number': '3'}"
"Given the context s, the next action T is decided as follows: where ACTION = {Shift, ArcRight, ArcLeft, Reduce}.","{'title': '3 The transition-based parser', 'number': '3'}"
"One drawback of deterministic parsing is error propagation, since once an incorrect action is made, the output parse will be incorrect regardless of the subsequent actions.","{'title': '3 The transition-based parser', 'number': '3'}"
"To reduce such error propagation, a parser can keep track of multiple candidate outputs and avoid making decisions too early.","{'title': '3 The transition-based parser', 'number': '3'}"
"Suppose that the parser builds a set of candidates GEN(x) for the input x, the best output F(x) can be decided by considering all actions: Here T0 represents one action in the sequence (act(y)) by which y is built, and sT' represents the corresponding context when T0 is taken.","{'title': '3 The transition-based parser', 'number': '3'}"
"Our transition-based algorithm keeps B different sequences of actions in the agenda, and chooses the one having the overall best score as the final parse.","{'title': '3 The transition-based parser', 'number': '3'}"
Pseudo code for the decoding algorithm is shown in Figure 4.,"{'title': '3 The transition-based parser', 'number': '3'}"
"Here each state item contains a partial parse tree as well as a stack configuration, and state items are built incrementally by transition actions.","{'title': '3 The transition-based parser', 'number': '3'}"
"Initially the stack is empty, and the agenda contains an empty sentence.","{'title': '3 The transition-based parser', 'number': '3'}"
"At each processing stage, one transition action is applied to existing state items as a step to build the final parse.","{'title': '3 The transition-based parser', 'number': '3'}"
"Unlike the MaltParser, which makes a decision at each stage, our transitionbased parser applies all possible actions to each existing state item in the agenda to generate new items; then from all the newly generated items, it takes the B with the highest overall score and puts them onto the agenda.","{'title': '3 The transition-based parser', 'number': '3'}"
"In this way, some ambiguity is retained for future resolution.","{'title': '3 The transition-based parser', 'number': '3'}"
Note that the number of transition actions needed to build different parse trees can vary.,"{'title': '3 The transition-based parser', 'number': '3'}"
"For example, the three-word sentence “A B C” can be parsed by the sequence of three actions “Shift ArcRight ArcRight” (B modifies A; C modifies B) or the sequence of four actions “Shift ArcLeft Shift ArcRight” (both A and C modifies B).","{'title': '3 The transition-based parser', 'number': '3'}"
"To ensure that all final state items are built by the same number of transition actions, we require that the final state transfer the best items from output to agenda Output: the best item in agenda items must 1) have fully-built parse trees; and 2) have only one root word left on the stack.","{'title': '3 The transition-based parser', 'number': '3'}"
"In this way, popping actions should be made even after a complete parse tree is built, if the stack still contains more than one word.","{'title': '3 The transition-based parser', 'number': '3'}"
