col1,col2
Most state-of-the-art evaluation measures for machine translation assign high costs to movements of word blocks.,{}
In many cases though such movements still result in correct or almost correct sentences.,{}
"In this paper, we will present a new evaluation measure which explicitly models block reordering as an edit operation.",{}
Our measure can be exactly calculated in quadratic time.,{}
"Furthermore, we will show how some evaluation measures can be improved",{}
Research in machine translation (MT) depends heavily on the evaluation of its results.,"{'title': '1 Introduction', 'number': '1'}"
"Especially for the development of an MT system, an evaluation measure is needed which reliably assesses the quality of MT output.","{'title': '1 Introduction', 'number': '1'}"
Such a measure will help analyze the strengths and weaknesses of different translation systems or different versions of the same system by comparing output at the sentence level.,"{'title': '1 Introduction', 'number': '1'}"
"In most applications of MT, understandability for humans in terms of readability as well as semantical correctness should be the evaluation criterion.","{'title': '1 Introduction', 'number': '1'}"
"But as human evaluation is tedious and cost-intensive, automatic evaluation measures are used in most MT research tasks.","{'title': '1 Introduction', 'number': '1'}"
A high correlation between these automatic evaluation measures and human evaluation is thus desirable.,"{'title': '1 Introduction', 'number': '1'}"
"State-of-the-art measures such as BLEU (Papineni et al., 2002) or NIST (Doddington, 2002) aim at measuring the translation quality rather on the document level1 than on the level of single sentences.","{'title': '1 Introduction', 'number': '1'}"
They are thus not well-suited for sentence-level evaluation.,"{'title': '1 Introduction', 'number': '1'}"
"The introduction of smoothing (Lin and Och, 2004) solves this problem only partially.","{'title': '1 Introduction', 'number': '1'}"
"In this paper, we will present a new automatic error measure for MT – the CDER – which is designed for assessing MT quality on the sentence level.","{'title': '1 Introduction', 'number': '1'}"
It is based on edit distance – such as the well-known word error rate (WER) – but allows for reordering of blocks.,"{'title': '1 Introduction', 'number': '1'}"
"Nevertheless, by defining reordering costs, the ordering of the words in a sentence is still relevant for the measure.","{'title': '1 Introduction', 'number': '1'}"
"In this, the new measure differs significantly from the position independent error rate (PER) by (Tillmann et al., 1997).","{'title': '1 Introduction', 'number': '1'}"
"Generally, finding an optimal solution for such a reordering problem is NP hard, as is shown in (Lopresti and Tomkins, 1997).","{'title': '1 Introduction', 'number': '1'}"
"In previous work, researchers have tried to reduce the complexity, for example by restricting the possible permutations on the block-level, or by approximation or heuristics during the calculation.","{'title': '1 Introduction', 'number': '1'}"
"Nevertheless, most of the resulting algorithms still have high run times and are hardly applied in practice, or give only a rough approximation.","{'title': '1 Introduction', 'number': '1'}"
An overview of some better-known measures can be found in Section 3.1.,"{'title': '1 Introduction', 'number': '1'}"
"In contrast to this, our new measure can be calculated very efficiently.","{'title': '1 Introduction', 'number': '1'}"
"This is achieved by requiring complete and disjoint coverage of the blocks only for the reference sentence, and not for the candidate translation.","{'title': '1 Introduction', 'number': '1'}"
We will present an algorithm which computes the new error measure in quadratic time.,"{'title': '1 Introduction', 'number': '1'}"
The new evaluation measure will be investigated and compared to state-of-the-art methods on two translation tasks.,"{'title': '1 Introduction', 'number': '1'}"
The correlation with human assessment will be measured for several different statistical MT systems.,"{'title': '1 Introduction', 'number': '1'}"
We will see that the new measure significantly outperforms the existing approaches.,"{'title': '1 Introduction', 'number': '1'}"
"As a further improvement, we will introduce word dependent substitution costs.","{'title': '1 Introduction', 'number': '1'}"
This method will be applicable to the new measure as well as to established measures like WER and PER.,"{'title': '1 Introduction', 'number': '1'}"
"Starting from the observation that the substitution of a word with a similar one is likely to affect translation quality less than the substitution with a completely different word, we will show how the similarity of words can be accounted for in automatic evaluation measures.","{'title': '1 Introduction', 'number': '1'}"
"This paper is organized as follows: In Section 2, we will present the state of the art in MT evaluation and discuss the problem of block reordering.","{'title': '1 Introduction', 'number': '1'}"
Section 3 will introduce the new error measure CDER and will show how it can be calculated efficiently.,"{'title': '1 Introduction', 'number': '1'}"
The concept of worddependent substitution costs will be explained in Section 4.,"{'title': '1 Introduction', 'number': '1'}"
"In Section 5, experimental results on the correlation of human judgment with the CDER and other well-known evaluation measures will be presented.","{'title': '1 Introduction', 'number': '1'}"
Section 6 will conclude the paper and give an outlook on possible future work.,"{'title': '1 Introduction', 'number': '1'}"
In MT – as opposed to other natural language processing tasks like speech recognition – there is usually more than one correct outcome of a task.,"{'title': '2 MT Evaluation', 'number': '2'}"
"In many cases, alternative translations of a sentence differ from each other mostly by the ordering of blocks of words.","{'title': '2 MT Evaluation', 'number': '2'}"
"Consequently, an evaluation measure for MT should be able to detect and allow for block reordering.","{'title': '2 MT Evaluation', 'number': '2'}"
"Nevertheless, a higher “amount” of reordering between a candidate translation and a reference translation should still be reflected in a worse evaluation score.","{'title': '2 MT Evaluation', 'number': '2'}"
"In other words, the more blocks there are to be reordered between reference and candidate sentence, the higher we want the measure to evaluate the distance between these sentences.","{'title': '2 MT Evaluation', 'number': '2'}"
State-of-the-art evaluation measures for MT penalize movement of blocks rather severely: ngram based scores such as BLEU or NIST still yield a high unigram precision if blocks are reordered.,"{'title': '2 MT Evaluation', 'number': '2'}"
"For higher-order n-grams, though, the precision drops.","{'title': '2 MT Evaluation', 'number': '2'}"
"As a consequence, this affects the overall score significantly.","{'title': '2 MT Evaluation', 'number': '2'}"
"WER, which is based on Levenshtein distance, penalizes the reordering of blocks even more heavily.","{'title': '2 MT Evaluation', 'number': '2'}"
"It measures the distance by substitution, deletion and insertion operations for each word in a relocated block.","{'title': '2 MT Evaluation', 'number': '2'}"
"PER, on the other hand, ignores the ordering of the words in the sentences completely.","{'title': '2 MT Evaluation', 'number': '2'}"
This often leads to an overly optimistic assessment of translation quality.,"{'title': '2 MT Evaluation', 'number': '2'}"
"The approach we pursue in this paper is to extend the Levenshtein distance by an additional operation, namely block movement.","{'title': '2 MT Evaluation', 'number': '2'}"
The number of blocks in a sentence is equal to the number of gaps among the blocks plus one.,"{'title': '2 MT Evaluation', 'number': '2'}"
"Thus, the block movements can equivalently be expressed as long jump operations that jump over the gaps between two blocks.","{'title': '2 MT Evaluation', 'number': '2'}"
The costs of a long jump are constant.,"{'title': '2 MT Evaluation', 'number': '2'}"
The blocks are read in the order of one of the sentences.,"{'title': '2 MT Evaluation', 'number': '2'}"
"These long jumps are combined with the “classical” Levenshtein edit operations, namely insertion, deletion, substitution, and the zero-cost operation identity.","{'title': '2 MT Evaluation', 'number': '2'}"
The resulting long jump distance dLJ gives the minimum number of operations which are necessary to transform the candidate sentence into the reference sentence.,"{'title': '2 MT Evaluation', 'number': '2'}"
"Like the Levenshtein distance, the long jump distance can be depicted using an alignment grid as shown in Figure 1: Here, each grid point corresponds to a pair of inter-word positions in candidate and reference sentence, respectively. dLJ is the minimum cost of a path between the lower left (first) and the upper right (last) alignment grid point which covers all reference and candidate words.","{'title': '2 MT Evaluation', 'number': '2'}"
"Deletions and insertions correspond to horizontal and vertical edges, respectively.","{'title': '2 MT Evaluation', 'number': '2'}"
Substitutions and identity operations correspond to diagonal edges.,"{'title': '2 MT Evaluation', 'number': '2'}"
Edges between arbitrary grid points from the same row correspond to long jump operations.,"{'title': '2 MT Evaluation', 'number': '2'}"
It is easy to see that dLJ is symmetrical.,"{'title': '2 MT Evaluation', 'number': '2'}"
"In the example, the best path contains one deletion edge, one substitution edge, and three long jump edges.","{'title': '2 MT Evaluation', 'number': '2'}"
"Therefore, the long jump distance between the sentences is five.","{'title': '2 MT Evaluation', 'number': '2'}"
"In contrast, the best Levenshtein path contains one deletion edge, four identity and five consecutive substitution edges; the Levenshtein distance between the two sentences is six.","{'title': '2 MT Evaluation', 'number': '2'}"
"The effect of reordering on the BLEU measure is even higher in this example: Whereas 8 of the 10 unigrams from the candidate sentence can be found in the reference sentence, this holds for only 4 bigrams, and 1 trigram.","{'title': '2 MT Evaluation', 'number': '2'}"
Not a single one of the 7 candidate four-grams occurs in the reference sentence.,"{'title': '2 MT Evaluation', 'number': '2'}"
"(Lopresti and Tomkins, 1997) showed that finding an optimal path in a long jump alignment grid is an NP-hard problem.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
Our experiments showed that the calculation of exact long jump distances becomes impractical for sentences longer than 20 words.,"{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
A possible way to achieve polynomial runtime is to restrict the number of admissible block permutations.,"{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"This has been implemented by (Leusch et al., 2003) in the inversion word error rate.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"Alternatively, a heuristic or approximative distance can be calculated, as in GTM by (Turian et al., 2003).","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"An implementation of both approaches at the same time can be found in TER by (Snover et al., 2005).","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"In this paper, we will present another approach which has a suitable run-time, while still maintaining completeness of the calculated measure.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
The idea of the proposed method is to drop some restrictions on the alignment path.,"{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
The long jump distance as well as the Levenshtein distance require both reference and candidate translation to be covered completely and disjointly.,"{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"When extending the metric by block movements, we drop this constraint for the candidate translation.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"That is, only the words in the reference sentence have to be covered exactly once, whereas those in the candidate sentence can be covered zero, one, or multiple times.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
Dropping the constraints makes an efficient computation of the distance possible.,"{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
We drop the constraints for the candidate sentence and not for the reference sentence because we do not want any information contained in the reference to be omitted.,"{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"Moreover, the reference translation will not contain unnecessary repetitions of blocks.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"The new measure – which will be called CDER in the following – can thus be seen as a measure oriented towards recall, while measures like BLEU are guided by precision.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"The CDER is based on the CDCD distance2 introduced in (Lopresti and Tomkins, 1997).","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"The authors show there that the problem of finding the optimal solution can be solved in O(I2 · L) time, where I is the length of the candidate sentence and L the length of the reference sentence.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"Within this paper, we will refer to this distance as dCD .","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"In the next subsection, we will show how it can be computed in O(I · L) time using a modification of the Levenshtein algorithm.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"We also studied the reverse direction of the described measure; that is, we dropped the coverage constraints for the reference sentence instead of the candidate sentence.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"Additionally, the maximum of both directions has been considered as distance measure.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
The results in Section 5.2 will show that the measure using the originally proposed direction has a significantly higher correlation with human evaluation than the other directions.,"{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"Our algorithm for calculating dCD is based on the dynamic programming algorithm for the Levenshtein distance (Levenshtein, 1966).","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
"The Levenshtein distance dLev(eI1, ˜eL � between two strings eI1 and ˜eL1 can be calculated in constant time if the Levenshtein distances of the substrings, dLev(eI−1 is stored in an I x L table.","{'title': '3 CDER: A New Evaluation Measure', 'number': '3'}"
