col1,col2
We use logical inference techniques for recognising textual entailment.,Introduction
"As the performance of theorem proving turnsout to be highly dependent on not read ily available background knowledge, we incorporate model building, a technique borrowed from automated reasoning, and show that it is a useful robust method to approximate entailment.",Introduction
"Finally, we use machine learning to combine these deep semantic analysis techniques with simpleshallow word overlap; the resulting hy brid model achieves high accuracy on the RTE testset, given the state of the art.",Introduction
"Ourresults also show that the different techniques that we employ perform very dif ferently on some of the subsets of the RTE corpus and as a result, it is useful to use the nature of the dataset as a feature.",Introduction
Recognising textual entailment (RTE) is the task to find out whether some text T entails a hypothesis H. This task has recently been the focus of a challenge organised by the PASCAL network in 2004/5.1 In Example 1550 H follows from T whereas this is not the case in Example 731.,Experiment/Discussion
1All examples are from the corpus released as part of the RTE challenge.,Experiment/Discussion
It is downloadable from http://www.pascal-network.org/Challenges/RTE/.,Experiment/Discussion
The exam ple numbers have also been kept.,Experiment/Discussion
Each example is marked for entailment as TRUE if H follows from T and FALSE otherwise.,Experiment/Discussion
The dataset is described in Section 4.1.,Experiment/Discussion
"Example: 1550 (TRUE) T: In 1998, the General Assembly of the Nippon Sei Ko Kai (Anglican Church in Japan) voted to accept female priests.",Experiment/Discussion
H: The Anglican church in Japan approved the ordination of women.,Experiment/Discussion
Example: 731 (FALSE) T: The city Tenochtitlan grew rapidly and was the center of the Aztec?s great empire.,Experiment/Discussion
"H: Tenochtitlan quickly spread over the island, marshes, and swamps.",Experiment/Discussion
"The recognition of textual entailment is without doubt one of the ultimate challenges for any NLPsystem: if it is able to do so with reasonable accuracy, it is clearly an indication that it has some thor ough understanding of how language works.",Experiment/Discussion
"Indeed, recognising entailment bears similarities to Turing?s famous test to assess whether machines can think, as access to different sources of knowledge and theability to draw inferences seem to be among the primary ingredients for an intelligent system.",Experiment/Discussion
"Moreover, many NLP tasks have strong links to entailment: in summarisation, a summary should be en tailed by the text; paraphrases can be seen as mutualentailment between T and H; in IE, the extracted in formation should also be entailed by the text.In this paper, we discuss two methods for recog nising textual entailment: a shallow method relyingmainly on word overlap (Section 2), and deep se mantic analysis, using state-of-the-art off-the-shelf inference tools, namely a theorem prover and amodel builder (Section 3).",Experiment/Discussion
These tools rely on Dis course Representation Structures for T and H as well as lexical and world knowledge.,Experiment/Discussion
"To our knowledge, few approaches to entailment currently use theorem provers and none incorporate model building (see 628 Section 5 for a discussion of related work).",Experiment/Discussion
Both methods are domain-independent to increasetransferrability and have not been tailored to any par ticular test suite.,Experiment/Discussion
In Section 4 we test their accuracy and robustness on the RTE datasets as one of the few currently available datasets for textual inference.,Experiment/Discussion
We also combine the two methods in a hybrid approach using machine learning.,Experiment/Discussion
We discuss particularly the following questions:?,Experiment/Discussion
Can the methods presented improve significantly over the baseline and what are the per formance differences between them?,Experiment/Discussion
Does thehybrid system using both shallow and deep se mantic analysis improve over the individual use of these methods?,Experiment/Discussion
How far does deep semantic analysis suffer from a lack of lexical and world knowledge and how can we perform logical inference in the face of potentially large knowledge gaps??,Experiment/Discussion
How does the design of the test suite affect per formance?,Experiment/Discussion
Are there subsets of the test suitethat are more suited to any particular textual en tailment recognition method?,Experiment/Discussion
"We use several shallow surface features to model the text, hypothesis and their relation to each other.",Experiment/Discussion
"Most importantly, we expect some dependencybetween surface string similarity of text and hypothesis and the existence of entailment.",Experiment/Discussion
"Our string sim ilarity measure uses only a form of extended wordoverlap between text and hypothesis, taking into account equality of words, synonymy and morpholog ical derivations.",Experiment/Discussion
"WordNet (Fellbaum, 1998) is usedas the knowledge source for synonymy and deriva tions.",Experiment/Discussion
The exact procedure is as follows:Both text and hypothesis are tokenised and lem matised.,Experiment/Discussion
"A lemma l1 in the hypothesis is said to be related to a lemma l2 in the text iff l1 and l2 are equal, belong to the same WordNet synset (e.g., ?murder?",Experiment/Discussion
"and ?slay?), are related via WordNet derivations (e.g. ?murder?",Experiment/Discussion
and ?murderer?),Experiment/Discussion
or arerelated via a combination of synonymy and deriva tions (e.g. ?murder?,Experiment/Discussion
via ?murderer?,Experiment/Discussion
to ?liquidator?).,Experiment/Discussion
"No word sense disambiguation is performed and all synsets for a particular lemma are considered.In addition, each lemma in the hypothesis is as signed its inverse document frequency, accessing the Web as corpus via the GoogleAPI, as its weight.",Experiment/Discussion
This standard procedure allows us to assign more importance to less frequent words.,Experiment/Discussion
The overlap measure wnoverlap between text and hypothesis is initialised as zero.,Experiment/Discussion
"Should a lemma in the hypothesis be related to a lemma in the text, its weight is added to wnoverlap, otherwise it is ignored.",Experiment/Discussion
In the end wnoverlap is normalised by dividing it by the sum of all weights of the lemmas in the hypothesis.,Experiment/Discussion
This ensures that wnoverlap isalways a real number between 0 and 1 and also en sures independence of the length of the hypothesis.,Experiment/Discussion
"Apart from wnoverlap we take into account length (as measured by number of lemmas) of text and hypothesis, because in most of the observed cases for true entailments the hypothesis is shorter than the text as it contains less information.",Experiment/Discussion
"This is covered by three numerical features measuring the length of the text, of the hypothesis and the relative length of hypothesis with regard to the text.",Experiment/Discussion
3.1 Semantic Interpretation.,Experiment/Discussion
"We use a robust wide-coverage CCG-parser (Bos etal., 2004) to generate fine-grained semantic representations for each T/H-pair.",Experiment/Discussion
"The semantic representation language is a first-order fragment of the DRS language used in Discourse Representation Theory(Kamp and Reyle, 1993), conveying argument struc ture with a neo-Davidsonian analysis and includingthe recursive DRS structure to cover negation, dis junction, and implication.",Experiment/Discussion
Consider for example: Example: 78 (FALSE) T: Clinton?s new book is not big seller here.,Experiment/Discussion
H: Clinton?s book is a big seller.,Experiment/Discussion
"drs(T): x1 x2 x3 book(x1) book(x2) ? x1=x2 clinton(x3) of(x1,x3) ? e4 x5 big(x5) seller(x5) be(e4) agent(e4,x1) patient(e4,x5) loc(e4,here) drs(H): x1 x2 e3 x4 book(x1) clinton(x2) of(x1,x2) big(x4) seller(x4) be(e3) agent(e3,x1) patient(e3,x4) 629 Proper names and definite descriptions are treated as anaphoric, and bound to previously introduceddiscourse referents if possible, otherwise accommodated.",Experiment/Discussion
Some lexical items are specified as presup position triggers.,Experiment/Discussion
An example is the adjective ?new?,Experiment/Discussion
"which has a presuppositional reading, as shown by the existence of two different ?book?",Experiment/Discussion
entities in drs(T).,Experiment/Discussion
Scope is fully specified.,Experiment/Discussion
"To check whether an entailment holds or not, weuse two kinds of automated reasoning tools: Vam pire, a theorem prover (Riazanov and Voronkov, 2002), and Paradox, a model builder (Claessen and So?rensson, 2003).",Experiment/Discussion
"Both tools are developed to deal with inference problems stated in first-order logic.We use the standard translation from DRS to firstorder logic (Kamp and Reyle, 1993) to map our se mantic representation onto the format required by the inference tools.",Experiment/Discussion
3.2 Theorem Proving.,Experiment/Discussion
"Given a T/H pair, a theorem prover can be used to find answers to the following conjectures: 1.",Experiment/Discussion
T implies H (shows entailment) 2.,Experiment/Discussion
"T+H are inconsistent (shows no entailment)Assume that the function DRS denotes the DRS cor responding to T or H, and FOL the function that translates a DRS into first-order logic.",Experiment/Discussion
