col1,col2
We present a modular system for detection and correction of errors made by non native (English as a Second Language = ESL) writers.,Introduction
We focus on two error types: the incorrect use of determiners and the choice of prepositions.,Introduction
"We use a decision tree approach inspired by contextual spelling systems for detection and correction suggestions, and a large language model trained on the Gigaword corpus to provide additional information to filter out spurious suggestions.",Introduction
We show how this system performs on a corpus of non-native English text and discuss strategies for future enhancements.,Introduction
English is today the de facto lingua franca for commerce around the globe.,Experiment/Discussion
"It has been estimated that about 750M people use English as a second language, as opposed to 375M native English speakers (Crystal 1997), while as much as 74% of writing in English is done by non-native speakers.",Experiment/Discussion
"However, the errors typically targeted by commercial proofing tools represent only a subset of errors that a non-native speaker might make.",Experiment/Discussion
"For example, while many non-native speakers may encounter difficulty choosing among prepositions, this is typically not a significant problem for native speakers and hence remains unaddressed in proofing tools such as the grammar checker in Microsoft Word (Heidorn 2000).",Experiment/Discussion
Plainly there is an opening here for automated proofing tools that are better geared to the non-native users.,Experiment/Discussion
One challenge that automated proofing tools face is that writing errors often present a semantic dimension that renders it difficult if not impossible to provide a single correct suggestion.,Experiment/Discussion
"The choice of definite versus indefinite determiner?a common error type among writers with a Japanese, Chinese or Korean language background owing to the lack of overt markers for definiteness and indefiniteness?is highly dependent on larger textual context and world knowledge.",Experiment/Discussion
"It seems desirable, then, that proofing tools targeting such errors be able to offer a range of plausible suggestions, enhanced by presenting real-world examples that are intended to inform a user?s selection of the most appropriate wording in the context1.",Experiment/Discussion
Our system currently targets eight different error types: 1.,Experiment/Discussion
Preposition presence and choice:.,Experiment/Discussion
"In the other hand, ...",Experiment/Discussion
(On the other hand ...),Experiment/Discussion
2.,Experiment/Discussion
Definite and indefinite determiner presence.,Experiment/Discussion
and choice: I am teacher...,Experiment/Discussion
(am a teacher),Experiment/Discussion
I am interesting in this book.,Experiment/Discussion
(interested in),Experiment/Discussion
My teacher does is a good teacher (my teacher is...),Experiment/Discussion
"1 Liu et al 2000 take a similar approach, retrieving.",Experiment/Discussion
example sentences from a large corpus.,Experiment/Discussion
449,Experiment/Discussion
I writed a letter (wrote),Experiment/Discussion
This is a China book (Chinese book) compounds): I am a student of university (university student) 8.,Results/Conclusion
Noun pluralization:.,Results/Conclusion
They have many knowledges (much knowledge) In this paper we will focus on the two most prominent and difficult errors: choice of determiner and prepositions.,Results/Conclusion
Empirical justification for targeting these errors comes from inspection of several corpora of non-native writing.,Results/Conclusion
"In the NICT Japanese Learners of English (JLE) corpus (Izumi et al 2004), 26.6% of all errors are determiner related, and about 10% are preposition related, making these two error types the dominant ones in the corpus.",Results/Conclusion
"Although the JLE corpus is based on transcripts of spoken language, we have no reason to believe that the situation in written English is substantially different.",Results/Conclusion
"The Chinese Learners of English Corpus (CLEC, Gui and Yang 2003) has a coarser and somewhat inconsistent error tagging scheme that makes it harder to isolate the two errors, but of the non-orthographic errors, more than 10% are determiner and number related.",Results/Conclusion
"Roughly 2% of errors in the corpus are tagged as preposition-related, but other preposition errors are subsumed under the ?collocation error?",Results/Conclusion
category which makes up about 5% of errors.,Results/Conclusion
3 Related Work.,Results/Conclusion
"Models for determiner and preposition selection have mostly been investigated in the context of sentence realization and machine translation (Knight and Chander 1994, Gamon et al 2002, Bond 2005, Suzuki and Toutanova 2006, Toutanova and Suzuki 2007).",Results/Conclusion
