col1,col2
"amp;quot;Two weeks later, Bonadea had already been his lover for a fortnight.&quot; Musil, Mann ohne Eigenschaften.",Introduction
A semantics of temporal categories in language and a theory of their use in defining the temporal relations between events both require a more complex structure on the domain underlying the meaning representations than is commonly assumed.,Introduction
"This paper proposes an ontology based on such notions as causation and consequence, rather than on purely temporal primitives.",Introduction
"A central notion in the ontology is that of an elementary event-complex called a &quot;nucleus.&quot; A nucleus can be thought of as an association of a goal event, or &quot;culmination,&quot; with a &quot;preparatory process&quot; by which it is accomplished, and a &quot;consequent state,&quot; which ensues.",Introduction
"Natural-language categories like aspects, futurates, adverbials, and when-clauses are argued to change the temporal/aspectual category of propositions under the control of such a nucleic knowledge representation structure.",Introduction
"The same concept of a nucleus plays a central role in a theory of temporal reference, and of the semantics of tense, which we follow McCawley, Partee, and Isard in regarding as an anaphoric category.",Introduction
"We claim that any manageable formalism for naturallanguage temporal descriptions will have to embody such an ontology, as will any usable temporal database for knowledge about events which is to be interrogated using natural language.",Introduction
A semantics of temporal categories in language and a theory of their use in defining the temporal relations between events both require a more complex structure on the domain underlying the meaning representations than is commonly assumed.,Experiment/Discussion
"This paper proposes an ontology based on such notions as causation and consequence, rather than on purely temporal primitives.",Experiment/Discussion
"A central notion in the ontology is that of an elementary event-complex called a &quot;nucleus.&quot; A nucleus can be thought of as an association of a goal event, or &quot;culmination,&quot; with a &quot;preparatory process&quot; by which it is accomplished, and a &quot;consequent state,&quot; which ensues.",Experiment/Discussion
"Natural-language categories like aspects, futurates, adverbials, and when-clauses are argued to change the temporal/aspectual category of propositions under the control of such a nucleic knowledge representation structure.",Experiment/Discussion
"The same concept of a nucleus plays a central role in a theory of temporal reference, and of the semantics of tense, which we follow McCawley, Partee, and Isard in regarding as an anaphoric category.",Experiment/Discussion
"We claim that any manageable formalism for naturallanguage temporal descriptions will have to embody such an ontology, as will any usable temporal database for knowledge about events which is to be interrogated using natural language.",Experiment/Discussion
"It is often assumed that the semantics of temporal expressions is directly related to the linear time concept familiar from high-school physics—that is, to a model based on the number line.",Experiment/Discussion
"However, there are good reasons for suspecting that such a conception is not the one that our linguistic categories are most directly related to.",Experiment/Discussion
When-clauses provide an example of the mismatch between linguistic temporal categories and a semantics based on such an assumption.,Experiment/Discussion
"Consider the following examples, suggested by Ritchie 1979: To map the temporal relations expressed in these examples onto linear time, and to try to express the semantics of when in terms of points or intervals (possibly associated with events), would appear to imply either that when is multiply ambiguous, allowing these points or intervals to be temporally related in at least three different ways, or that the relation expressed between main and when-clauses is one of approximate coincidence.",Experiment/Discussion
"However, neither of these tactics explains the peculiarity of utterances like the following: The unusual character of this statement seems to arise because the when-clause predicates something more than mere temporal coincidence, that is, some contingent relation such as a causal link or an enablement relation between the two events.",Experiment/Discussion
"Our knowledge of the world does not easily support such a link for (2), at least if we don't indulge in the fiction that the natural universe is conspiring against the speaker.",Experiment/Discussion
"Nor is the relation predicated between the two events by when the one that we normally think of as scientifically causal, for when seems to predicate an intransitive relation.",Experiment/Discussion
Consider: From (3a) and (b) it would be unwarranted to conclude the state of affairs that is described in (c).,Experiment/Discussion
"And this causal aspect of the sentence's meaning must stem from the sense-meaning of when, because parallel utterances using while, just after, at approximately the same time as, and the like, which predicate purely temporal coincidence, are perfectly felicitous.",Experiment/Discussion
"We shall claim that the different temporal relations conveyed in examples (1) and (2) do not arise from any sense-ambiguity of when, or from any &quot;fuzziness&quot; in the relation that it expresses between the times referred to in the clauses it conjoins, but from the fact that the meaning of when is not primarily temporal at all.",Experiment/Discussion
"Nor is it simply causal, as Example 3 shows.",Experiment/Discussion
"We will argue instead that when has a single sense-meaning, reflecting its role of establishing a temporal focus, which we follow Isard and Longuet-Higgins (1973) in relating to Reichenbach's reference time (cf. introduction to this collection).",Experiment/Discussion
"The apparent diversity of meanings arises from the nature of this referent and the organisation of events and states of affairs in episodic memory under a relation we shall call contingency, a term related, but not identical to a notion like causality, rather than mere temporal sequentiality.",Experiment/Discussion
"This contingent, nontemporal relation on the representation of events in episodic memory also determines the ontology of propositions associated with linguistic expressions denoting events and states.",Experiment/Discussion
It is to these that we turn first.,Experiment/Discussion
"Propositions conveyed by English sentences uttered in context can, following Vendler, be classified into temporal or aspectual types, partly on the basis of the tenses, aspects, and adverbials with which they can co-occur (cf.",Experiment/Discussion
"Dowty 1979, and the introduction to the present collection).",Experiment/Discussion
"The term aspectual type refers to the relation that a speaker predicates of the particular happening that their utterance describes, relative to other happenings in the domain of the discourse.",Experiment/Discussion
What the speaker says about those relations is of course quite distinct from what those relations objectively are.,Experiment/Discussion
"In particular, the speaker's predications about events will typically be coloured by the fact that those events are involved in sequences that are planned, predicted, intended, or otherwise governed by agencies of one kind or another.",Experiment/Discussion
"For want of some established term to cover this very general class of dependencies between events, we will use the term contingency.",Experiment/Discussion
"Thus an utterance of is usually typical of what we will call a culmination— informally, an event which the speaker views as punctual or instantaneous, and as accompanied by a transition to a new state of the world.'",Experiment/Discussion
This new state we will refer to as the consequent state of the event.,Experiment/Discussion
It does not necessarily include all events that are objectively and in fact consequences.,Experiment/Discussion
"It rather includes only those consequences that the speaker views as contingently related to other events that are under discussion, say by causing them or by permitting them to occur.",Experiment/Discussion
"For reasons that are discussed in Section 3.2 below, expressions like these readily combine with the perfect, as in The point may perhaps best be made by noting that there is another class of punctual expressions that is not normally associated with a consequent state.",Experiment/Discussion
"For example,",Experiment/Discussion
is not usually viewed as leading to any relevant change in the state of the world.,Experiment/Discussion
It typifies what we call a point expression.,Experiment/Discussion
A point is an event (not necessarily an instantaneous one) that is viewed as an indivisible whole and whose consequences are not at issue in the discourse—which of course does not mean that de facto consequences do not exist.,Experiment/Discussion
"Such expressions are evidently not the same as culminations, for they are rather odd in combination with the perfect, as in 7.",Experiment/Discussion
# Harry has hiccupped.,Experiment/Discussion
The reasons for this will also be discussed below.,Experiment/Discussion
Sentences like 8.,Experiment/Discussion
"Harry climbed typify a third aspectual category, which we will call for obvious reasons a process.",Experiment/Discussion
Most utterances of such sentences describe an event as extended in time but not characterised by any particular conclusion or culmination.,Experiment/Discussion
"As was pointed out by Vendler, expressions like these can be combined with afor-adverbial but not with an in-adverbial: In contrast, 10.",Experiment/Discussion
Harry climbed to the top typically describes a state of affairs that also extends in time but that does have a particular culmination associated with it at which a change of state takes place.,Experiment/Discussion
"We classify most utterances of such sentences as a fourth aspectual type, called a culminated process.",Experiment/Discussion
"Culminated processes, in contrast to ordinary processes, combine readily with an in-adverbial but not with afor-adverbial.",Experiment/Discussion
11.,Experiment/Discussion
Harry climbed all the way to the top in less than 45 minutes.,Experiment/Discussion
#Harry climbed all the way to the top for less than 45 minutes.,Experiment/Discussion
"All of the above categories describe what common sense suggests we call events—that is, happenings with defined beginnings and ends.",Experiment/Discussion
"We distinguish these &quot;hard-edged&quot; categories from a class of indefinitely extending states of affairs, which, equally commonsensically, we call states.",Experiment/Discussion
Example 12 typically describes one kind of state: 12.,Experiment/Discussion
Harry is at the top.,Experiment/Discussion
"Part of the appeal of Vendler's account, and such descendants as the present proposal, is that it suggests that part of the meaning of any utterance of a sentence is one of a small number of temporal/aspectual profiles distinguished on a small number of dimensions.",Experiment/Discussion
"In present terms, the event-types can be distinguished on just two dimensions, one concerned with the contrast between punctuality and temporal extension, the other with the association with a consequent state.",Experiment/Discussion
This subcategorisation can be summarized as in Figure 1.,Experiment/Discussion
"EVENTS STATES atomic extended understand, love, know, resemble +conseq CULMINATION CULMINATED recognize, spot, PROCESS win the race build a house, eat a sandwich -conseq POINT PROCESS hiccup, run, swim, walk, tap, wink play the piano We have included in Figure 1 examples of verbs which typically yield propositions of the relevant types, and we shall assume that such verbs (or, strictly speaking, the associated uninstantiated propositions) are lexically specified as bearing that type.",Experiment/Discussion
"However, it cannot be stressed too often that these aspectual profiles are properties of sentences used in a context: sense-meanings of sentences or verbs in isolation are usually compatible with several (or even all possible) Vendlerian profiles, as Dowty and Verkuyl have pointed out— hence the frequent use of words like &quot;typically&quot; and &quot;readily&quot; above.",Experiment/Discussion
"The details of this taxonomy and the criteria according to which utterances can be categorised are less important than the observation that each primitive entity of a given type, such as the culmination event of Harry's reaching the top, carries intimations of other associated events and states, such as the process by which the culmination was achieved and the consequent state that followed.",Experiment/Discussion
