col1,col2
We describe a methodology for rapid experimentation in statistical machine translation which we use to add a large number of features to a baseline system exploiting features from a wide range of levels of syntactic representation.,Introduction
Feature values were combined in a log-linear model to select the highest scoring candidate from an list.,Introduction
Feature weights were optimized directly against the BLEU evaluation metric on held-out data.,Introduction
We present results for a small selection of features at each level of syntactic representation.,Introduction
"Despite the enormous progress in machine translation (MT) due to the use of statistical techniques in recent years, state-of-the-art statistical systems often produce translations with obvious errors.",Experiment/Discussion
"Grammatical errors include lack of a main verb, wrong word order, and wrong choice of function words.",Experiment/Discussion
Frequent problems of a less grammatical nature include missing content words and incorrect punctuation.,Experiment/Discussion
"In this paper, we attempt to address these problems by exploring a variety of new features for scoring candidate translations.",Experiment/Discussion
"A high-quality statistical translation system is our baseline, and we add new features to the existing set, which are then combined in a log-linear model.",Experiment/Discussion
"To allow an easy integration of new features, the baseline system provides an n-best list of candidate translations which is then reranked using the new features.",Experiment/Discussion
"This framework allows us to incorporate different types of features, including features based on syntactic analyses of the source and target sentences, which we hope will address the grammaticality of the translations, as well as lower-level features.",Experiment/Discussion
"As we work on n-best lists, we can easily use global sentence-level features.",Experiment/Discussion
We begin by describing our baseline system and the n-best rescoring framework within which we conducted our experiments.,Experiment/Discussion
"We then present a selection of new features, progressing from word-level features to those based to part-of-speech tags and syntactic chunks, and then to features based on Treebank-based syntactic parses of the source and target sentences.",Experiment/Discussion
The goal is the translation of a text given in some source language into a target language.,Experiment/Discussion
"We are given a source (‘Chinese’) sentence f = fJ1 = f1, ... , fj, ... , fJ, which is to be translated into a target (‘English’) sentence e = eI1 = e1, ... , ei, ... , eI Among all possible target sentences, we will choose the sentence with the highest probability: As an alternative to the often used source-channel approach (Brown et al., 1993), we directly model the posterior probability Pr(eI1 fJ1 ) (Och and Ney, 2002) using a log-linear combination of feature functions.",Experiment/Discussion
"In this framework, we have a set of M feature functions hm(eI1, fJ1 ), m = 1, ... , M. For each feature function, there exists a model parameter Am, m = 1, ... , M. The direct translation probability is given by: We obtain the following decision rule: The standard criterion for training such a log-linear model is to maximize the probability of the parallel training corpus consisting of S sentence pairs f(fs, es) : s = 1, ... , S}.",Experiment/Discussion
"However, this does not guarantee optimal performance on the metric of translation quality by which our system will ultimately be evaluated.",Experiment/Discussion
"For this reason, we optimize the parameters directly against the BLEU metric on held-out data.",Experiment/Discussion
