col1,col2
"reranking techniques ofsuffer from the limited scope of the best list, which rules out many potentially alternatives.",Introduction
We instead propose a method that reranks a packed forest of exponentially many parses.,Introduction
"Since exact inference is intractable with non-local features, we present an approximate algorithm inspired by forest rescoring that makes discriminative training practical over the whole Treebank.",Introduction
"Our final result, an F-score of 91.7, outperforms both 50-best and 100-best reranking baselines, and is better than any previously reported systems trained on the Treebank.",Introduction
"Discriminative reranking has become a popular technique for many NLP problems, in particular, parsing (Collins, 2000) and machine translation (Shen et al., 2005).",Experiment/Discussion
"Typically, this method first generates a list of top-n candidates from a baseline system, and then reranks this n-best list with arbitrary features that are not computable or intractable to compute within the baseline system.",Experiment/Discussion
"But despite its apparent success, there remains a major drawback: this method suffers from the limited scope of the nbest list, which rules out many potentially good alternatives.",Experiment/Discussion
"For example 41% of the correct parses were not in the candidates of ∼30-best parses in (Collins, 2000).",Experiment/Discussion
This situation becomes worse with longer sentences because the number of possible interpretations usually grows exponentially with the sentence length.,Experiment/Discussion
"As a result, we often see very few variations among the n-best trees, for example, 50best trees typically just represent a combination of 5 to 6 binary ambiguities (since 25 < 50 < 26).",Experiment/Discussion
"Alternatively, discriminative parsing is tractable with exact and efficient search based on dynamic programming (DP) if all features are restricted to be local, that is, only looking at a local window within the factored search space (Taskar et al., 2004; McDonald et al., 2005).",Experiment/Discussion
"However, we miss the benefits of non-local features that are not representable here.",Experiment/Discussion
"Ideally, we would wish to combine the merits of both approaches, where an efficient inference algorithm could integrate both local and non-local features.",Experiment/Discussion
"Unfortunately, exact search is intractable (at least in theory) for features with unbounded scope.",Experiment/Discussion
"So we propose forest reranking, a technique inspired by forest rescoring (Huang and Chiang, 2007) that approximately reranks the packed forest of exponentially many parses.",Experiment/Discussion
"The key idea is to compute non-local features incrementally from bottom up, so that we can rerank the n-best subtrees at all internal nodes, instead of only at the root node as in conventional reranking (see Table 1).",Experiment/Discussion
This method can thus be viewed as a step towards the integration of discriminative reranking with traditional chart parsing.,Experiment/Discussion
"Although previous work on discriminative parsing has mainly focused on short sentences (≤ 15 words) (Taskar et al., 2004; Turian and Melamed, 2007), our work scales to the whole Treebank, where only at the root exact N/A we achieved an F-score of 91.7, which is a 19% error reduction from the 1-best baseline, and outperforms both 50-best and 100-best reranking.",Experiment/Discussion
This result is also better than any previously reported systems trained on the Treebank.,Experiment/Discussion
"Informally, a packed parse forest, or forest in short, is a compact representation of all the derivations (i.e., parse trees) for a given sentence under a context-free grammar (Billot and Lang, 1989).",Experiment/Discussion
"For example, consider the following sentence 0 I 1 saw 2 him 3 with 4 a 5 mirror 6 where the numbers between words denote string positions.",Experiment/Discussion
"Shown in Figure 1, this sentence has (at least) two derivations depending on the attachment of the prep. phrase PP3,6 “with a mirror”: it can either be attached to the verb “saw”, or be attached to “him”, which will be further combined with the verb to form the same VP as above.",Experiment/Discussion
These two derivations can be represented as a single forest by sharing common sub-derivations.,Experiment/Discussion
"Such a forest has a structure of a hypergraph (Klein and Manning, 2001; Huang and Chiang, 2005), where items like PP3,6 are called nodes, and deductive steps like (*) correspond to hyperedges.",Experiment/Discussion
"More formally, a forest is a pair (V, E), where V is the set of nodes, and E the set of hyperedges.",Experiment/Discussion
"For a given sentence w1:l = w1 ... wl, each node v E V is in the form of Xz,j, which denotes the recognition of nonterminal X spanning the substring from positions i through j (that is, wz+1 ... wj).",Experiment/Discussion
"Each hyperedge e E E is a pair (tails(e), head(e)), where head(e) E V is the consequent node in the deductive step, and tails(e) E V ∗ is the list of antecedent nodes.",Experiment/Discussion
"For example, the hyperedge for deduction (*) is notated: We also denote IN(v) to be the set of incoming hyperedges of node v, which represent the different ways of deriving v. For example, in the forest in Figure 1, IN(VP1,6) is {e1, e2}, with e2 = ((VBD1,2, NP2,6), VP1,6).",Experiment/Discussion
"We call jej the arity of hyperedge e, which counts the number of tail nodes in e. The arity of a hypergraph is the maximum arity over all hyperedges.",Experiment/Discussion
"A CKY forest has an arity of 2, since the input grammar is required to be binary branching (cf.",Experiment/Discussion
Chomsky Normal Form) to ensure cubic time parsing complexity.,Experiment/Discussion
"However, in this work, we use forests from a Treebank parser (Charniak, 2000) whose grammar is often flat in many productions.",Experiment/Discussion
"For example, the arity of the forest in Figure 1 is 3.",Experiment/Discussion
"Such a Treebank-style forest is easier to work with for reranking, since many features can be directly expressed in it.",Experiment/Discussion
"There is also a distinguished root node TOP in each forest, denoting the goal item in parsing, which is simply S0,l where S is the start symbol and l is the sentence length.",Experiment/Discussion
We first establish a unified framework for parse reranking with both n-best lists and packed forests.,Experiment/Discussion
