col1,col2
"Tempeval-2 comprises evaluation tasks for time expressions, events and temporal relations, the latter of which was split up in four sub tasks, motivated by the notion that smaller subtasks would make both data preparation and temporal relation extraction easier.",{}
Manually annotated data were,{}
"The ultimate aim of temporal processing is the automatic identification of all temporal referring expressions, events and temporal relations within a text.","{'title': '1 Introduction', 'number': '1'}"
"However, addressing this aim is beyond the scope of an evaluation challenge and a more modest approach is appropriate.","{'title': '1 Introduction', 'number': '1'}"
"The 2007 SemEval task, TempEval-1 (Verhagen et al., 2007; Verhagen et al., 2009), was an initial evaluation exercise based on three limited temporal ordering and anchoring tasks that were considered realistic both from the perspective of assembling resources for development and testing and from the perspective of developing systems capable of addressing the tasks.1 TempEval-2 is based on TempEval-1, but is more elaborate in two respects: (i) it is a multilingual task, and (ii) it consists of six subtasks rather than three.","{'title': '1 Introduction', 'number': '1'}"
"In the rest of this paper, we first introduce the data that we are dealing with.","{'title': '1 Introduction', 'number': '1'}"
"Which gets us in a position to present the list of task introduced by TempEval-2, including some motivation as to why we feel that it is a good idea to split up temporal relation classification into sub tasks.","{'title': '1 Introduction', 'number': '1'}"
"We proceed by shortly describing the data resources and their creation, followed by the performance of the systems that participated in the tasks.","{'title': '1 Introduction', 'number': '1'}"
"The TempEval annotation language is a simplified version of TimeML.2 using three TimeML tags: TIMEX3, EVENT and TLINK.","{'title': '2 TempEval Annotation', 'number': '2'}"
TIMEX3 tags the time expressions in the text and is identical to the TIMEX3 tag in TimeML.,"{'title': '2 TempEval Annotation', 'number': '2'}"
"Times can be expressed syntactically by adverbial or prepositional phrases, as shown in the following example.","{'title': '2 TempEval Annotation', 'number': '2'}"
"The two main attributes of the TIMEX3 tag are TYPE and VAL, both shown in the example (2). type=&quot;DATE&quot; val=&quot;2004-11-22&quot; For TempEval-2, we distinguish four temporal types: TIME (at 2:45 p.m.), DATE (January 27, 1920, yesterday), DURATION (two weeks) and SET (every Monday morning).","{'title': '2 TempEval Annotation', 'number': '2'}"
"The VAL attribute assumes values according to an extension of the ISO 8601 standard, as enhanced by TIMEX2.","{'title': '2 TempEval Annotation', 'number': '2'}"
"Each document has one special TIMEX3 tag, the Document Creation Time (DCT), which is interpreted as an interval that spans a whole day.","{'title': '2 TempEval Annotation', 'number': '2'}"
The EVENT tag is used to annotate those elements in a text that describe what is conventionally referred to as an eventuality.,"{'title': '2 TempEval Annotation', 'number': '2'}"
"Syntactically, events are typically expressed as inflected verbs, although event nominals, such as ”crash” in killed by the crash, should also be annotated as EVENTS.","{'title': '2 TempEval Annotation', 'number': '2'}"
"The most salient event attributes encode tense, aspect, modality and polarity information.","{'title': '2 TempEval Annotation', 'number': '2'}"
"Examples of some of these features are shown below: Proceedings of the 5th International Workshop on Semantic Evaluation, ACL 2010, pages 57–62, Uppsala, Sweden, 15-16 July 2010. c�2010 Association for Computational Linguistics The relation types for the TimeML TLINK tag form a fine-grained set based on James Allen’s interval logic (Allen, 1983).","{'title': '2 TempEval Annotation', 'number': '2'}"
"For TempEval, the set of labels was simplified to aid data preparation and to reduce the complexity of the task.","{'title': '2 TempEval Annotation', 'number': '2'}"
"We use only six relation types including the three core relations BEFORE, AFTER, and OVERLAP, the two less specific relations BEFORE-OR-OVERLAP and OVERLAP-OR-AFTER for ambiguous cases, and finally the relation VAGUE for those cases where no particular relation can be established.","{'title': '2 TempEval Annotation', 'number': '2'}"
Temporal relations come in two broad flavours: anchorings of events to time expressions and orderings of events.,"{'title': '2 TempEval Annotation', 'number': '2'}"
Events can be anchored to an adjacent time expression as in examples 5 and 6 or to the document creation time as in 7.,"{'title': '2 TempEval Annotation', 'number': '2'}"
The country defaultede2 on debts for that entire year.,"{'title': '2 TempEval Annotation', 'number': '2'}"
"BEFORE(e2,dct) In addition, events can be ordered relative to other events, as in the examples below.","{'title': '2 TempEval Annotation', 'number': '2'}"
"(8) The President spokee, to the nation on Tuesday on the financial crisis.","{'title': '2 TempEval Annotation', 'number': '2'}"
He had conferrede2 with his cabinet regarding policy the day before.,"{'title': '2 TempEval Annotation', 'number': '2'}"
"AFTER(e1,e2)","{'title': '2 TempEval Annotation', 'number': '2'}"
We can now define the six TempEval tasks: B.,"{'title': '3 TempEval-2 Tasks', 'number': '3'}"
Determine the extent of the events in a text as defined by the TimeML EVENT tag.,"{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"In addition, determine the value of the features CLASS, TENSE, ASPECT, POLARITY, and MODALITY.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
F. Determine the temporal relation between two events where one event syntactically dominates the other event.,"{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"Of these tasks, C, D and E were also defined for TempEval-1.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"However, the syntactic locality restriction in task C was not present in TempEval-1.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"Task participants could choose to either do all tasks, focus on the time expression task, focus on the event task, or focus on the four temporal relation tasks.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"In addition, participants could choose one or more of the six languages for which we provided data: Chinese, English, French, Italian, Korean, and Spanish.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"We feel that well-defined tasks allow us to structure the workflow, allowing us to create taskspecific guidelines and using task-specific annotation tools to speed up annotation.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"More importantly, each task can be evaluated in a fairly straightforward way, contrary to for example the problems that pop up when evaluating two complex temporal graphs for the same document.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"In addition, tasks can be ranked, allowing systems to feed the results of one (more precise) task as a feature into another task.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
"Splitting the task into substask reduces the error rate in the manual annotation, and that merging the different sub-task into a unique layer as a postprocessing operation (see figure 1) provides better and more reliable results (annotated data) than doing a complex task all at once.","{'title': '3 TempEval-2 Tasks', 'number': '3'}"
The data for the five languages were prepared independently of each other and do not comprise a parallel corpus.,"{'title': '4 Data Preparation', 'number': '4'}"
"However, annotation specifications and guidelines for the five languages were developed in conjunction with one other, in many cases based on version 1.2.1 of the TimeML annotation guidelines for English3.","{'title': '4 Data Preparation', 'number': '4'}"
Not all corpora contained data for all six tasks.,"{'title': '4 Data Preparation', 'number': '4'}"
Table 1 gives the size of the training set and the relation tasks that were included.,"{'title': '4 Data Preparation', 'number': '4'}"
All corpora include event and timex annotation.,"{'title': '4 Data Preparation', 'number': '4'}"
The French corpus contained a subcorpus with temporal relations but these relations were not split into the four tasks C through F. Annotation proceeded in two phases: a dual annotation phase where two annotators annotate each document and an adjudication phase where a judge resolves disagreements between the annotators.,"{'title': '4 Data Preparation', 'number': '4'}"
"Most languages used BAT, the Brandeis Annotation Tool (Verhagen, 2010), a generic webbased annotation tool that is centered around the notion of annotation tasks.","{'title': '4 Data Preparation', 'number': '4'}"
"With the task decomposition allowed by BAT, it is possible to structure the complex task of temporal annotation by splitting it up in as many sub tasks as seems useful.","{'title': '4 Data Preparation', 'number': '4'}"
"As 3Seehttp://www.timeml.org. such, BAT was well-suited for TempEval-2 annotation.","{'title': '4 Data Preparation', 'number': '4'}"
"We now give a few more details on the English and Spanish data, skipping the other languages for reasons that will become obvious at the beginning of section 6.","{'title': '4 Data Preparation', 'number': '4'}"
"The English data sets were based on TimeBank (Pustejovsky et al., 2003; Boguraev et al., 2007), a hand-built gold standard of annotated texts using the TimeML markup scheme.4 However, all event annotation was reviewed to make sure that the annotation complied with the latest guidelines and all temporal relations were added according to the Tempeval-2 relation tasks, using the specified relation types.","{'title': '4 Data Preparation', 'number': '4'}"
"The data released for the TempEval-2 Spanish edition is a fragment of the Spanish TimeBank, currently under development.","{'title': '4 Data Preparation', 'number': '4'}"
"Its documents are originally from the Spanish part of the AnCora corpus (Taul´e et al., 2008).","{'title': '4 Data Preparation', 'number': '4'}"
"Data preparation followed the annotation guidelines created to deal with the specificities of event and timex expressions in Spanish (Saur´ı et al., 2009a; Sauriet al., 2009b).","{'title': '4 Data Preparation', 'number': '4'}"
"For the extents of events and time expressions (tasks A and B), precision, recall and the f1-measure are used as evaluation metrics, using the following formulas: Where tp is the number of tokens that are part of an extent in both key and response, fp is the number of tokens that are part of an extent in the response but not in the key, and fn is the number of tokens that are part of an extent in the key but not in the response.","{'title': '5 Evaluation Metrics', 'number': '5'}"
For attributes of events and time expressions (the second part of tasks A and B) and for relation types (tasks C through F) we use an even simpler metric: the number of correct answers divided by the number of answers.,"{'title': '5 Evaluation Metrics', 'number': '5'}"
"Eight teams participated in TempEval-2, submitting a grand total of eighteen systems.","{'title': '6 System Results', 'number': '6'}"
Some of these systems only participated in one or two tasks while others participated in all tasks.,"{'title': '6 System Results', 'number': '6'}"
"The distribution over the six languages was very uneven: sixteen systems for English, two for Spanish and one for English and Spanish.","{'title': '6 System Results', 'number': '6'}"
"The results for task A, recognition and normalization of time expressions, are given in tables 2 and 3.","{'title': '6 System Results', 'number': '6'}"
The results for Spanish are more uniform and generally higher than the results for English.,"{'title': '6 System Results', 'number': '6'}"
"For Spanish, the f-measure for TIMEX3 extents ranges from 0.88 through 0.91 with an average of 0.89; for English the f-measure ranges from 0.26 through 0.86, for an average of 0.78.","{'title': '6 System Results', 'number': '6'}"
"However, due to the small sample size it is hard to make any generalizations.","{'title': '6 System Results', 'number': '6'}"
"In both languages, type detection clearly was a simpler task than determining the value.","{'title': '6 System Results', 'number': '6'}"
"The results for task B, event recognition, are given in tables 4 and 5.","{'title': '6 System Results', 'number': '6'}"
"Both tables contain results for both Spanish and English, the first part of each table contains the results for Spanish and the next part the results for English.","{'title': '6 System Results', 'number': '6'}"
"The column headers in table 5 are abbreviations for polarity (pol), mood (moo), modality (mod), tense (tns), aspect (asp) and class (cl).","{'title': '6 System Results', 'number': '6'}"
Note that the English team chose to include modality whereas the Spanish team used mood.,"{'title': '6 System Results', 'number': '6'}"
"As with the time expressions results, the sample size for Spanish is small, but note again the higher f-measure for event extents in Spanish.","{'title': '6 System Results', 'number': '6'}"
"Table 6 shows the results for all relation tasks, with the Spanish systems in the first two rows and the English systems in the last six rows.","{'title': '6 System Results', 'number': '6'}"
"Recall that for Spanish the training and test sets only contained data for tasks C and D. Interestingly, the version of the TIPSem systems that were applied to the Spanish data did much better on task C compared to its English cousins, but much worse on task D, which is rather puzzling.","{'title': '6 System Results', 'number': '6'}"
"Such a difference in performance of the systems could be due to differences in annotation accurateness, or it could be due to some particularities of how the two languages express certain temporal aspects, or perhaps the one corpus is more homogeneous than the other.","{'title': '6 System Results', 'number': '6'}"
"Again, there are not enough data points, but the issue deserves further attention.","{'title': '6 System Results', 'number': '6'}"
