col1,col2
This paper addresses the issue of the automatic induction of syntactic categories from unannotated corpora.,Introduction
"Previous techniques give good results, but fail to cope well with ambiguity or rare words.",Introduction
"An algorithm, context distribution clustering (CDC), is presented which can be naturally extended to handle these problems.",Introduction
"In this paper I present a novel program that induces syntactic categories from comparatively small corpora of unlabelled text, using only distributional information.",Experiment/Discussion
"There are various motivations for this task, which affect the algorithms employed.",Experiment/Discussion
"Many NLP systems use a set of tags, largely syntactic in motivation, that have been selected according to various criteria.",Experiment/Discussion
"In many circumstances it would be desirable for engineering reasons to generate a larger set of tags, or a set of domain-specific tags for a particular corpus.",Experiment/Discussion
"Furthermore, the construction of cognitive models of language acquisition — that will almost certainly involve some notion of syntactic category — requires an explanation of the acquisition of that set of syntactic categories.",Experiment/Discussion
"The amount of data used in this study is 12 million words, which is consistent with a pessimistic lower bound on the linguistic experience of the infant language learner in the period from 2 to 5 years of age, and has had capitalisation removed as being information not available in that circumstance.",Experiment/Discussion
Previous work falls into two categories.,Experiment/Discussion
A number of researchers have obtained good results using pattern recognition techniques.,Experiment/Discussion
"Finch and Chater (1992), (1995) and Schiitze (1993), (1997) use a set of features derived from the co-occurrence statistics of common words together with standard clustering and information extraction techniques.",Experiment/Discussion
For sufficiently frequent words this method produces satisfactory results.,Experiment/Discussion
"Brown et al. (1992) use a very large amount of data, and a well-founded information theoretic model to induce large numbers of plausible semantic and syntactic clusters.",Experiment/Discussion
"Both approaches have two flaws: they cannot deal well with ambiguity, though Schiitze addresses this issue partially, and they do not cope well with rare words.",Experiment/Discussion
"Since rare and ambiguous words are very common in natural language, these limitations are serious.",Experiment/Discussion
"Whereas earlier methods all share the same basic intuition, i.e. that similar words occur in similar contexts, I formalise this in a slightly different way: each word defines a probability distribution over all contexts, namely the probability of the context given the word.",Experiment/Discussion
"If the context is restricted to the word on either side, I can define the context distribution to be a distribution over all ordered pairs of words: the word before and the word after.",Experiment/Discussion
The context distribution of a word can be estimated from the observed contexts in a corpus.,Experiment/Discussion
"We can then measure the similarity of words by the similarity of their context distributions, using the Kullback-Leibler (KL) divergence as a distance function.",Experiment/Discussion
"Unfortunately it is not possible to cluster based directly on the context distributions for two reasons: first the data is too sparse to estimate the context distributions adequately for any but the most frequent words, and secondly some words which intuitively are very similar (Schi_itze's example is 'a' and 'an') have radically different context distributions.",Experiment/Discussion
"Both of these problems can be overcome in the normal way by using clusters: approximate the context distribution as being a probability distribution over ordered pairs of clusters multiplied by the conditional distributions of the words given the clusters : I use an iterative algorithm, starting with a trivial clustering, with each of the K clusters filled with the kth most frequent word in the corpus.",Experiment/Discussion
"At each iteration, I calculate the context distribution of each cluster, which is the weighted average of the context distributions of each word in the cluster.",Experiment/Discussion
The distribution is calculated with respect to the K current clusters and a further ground cluster of all unclassified words: each distribution therefore has (K + 1)2 parameters.,Experiment/Discussion
"For every word that occurs more than 50 times in the corpus, I calculate the context distribution, and then find the cluster with the lowest KL divergence from that distribution.",Experiment/Discussion
"I then sort the words by the divergence from the cluster that is closest to them, and select the best as being the members of the cluster for the next iteration.",Experiment/Discussion
"This is repeated, gradually increasing the number of words included at each iteration, until a high enough proportion has been clustered, for example 80%.",Experiment/Discussion
"After each iteration, if the distance between two clusters falls below a threshhold value, the clusters are merged, and a new cluster is formed from the most frequent unclustered word.",Experiment/Discussion
"Since there will be zeroes in the context distributions, they are smoothed using Good-Turing smoothing(Good, 1953) to avoid singularities in the KL divergence.",Experiment/Discussion
"At this point we have a preliminary clustering — no very rare words will be included, and some common words will also not be assigned, because they are ambiguous or have idiosyncratic distributional properties.",Experiment/Discussion
Ambiguity can be handled naturally within this framework.,Experiment/Discussion
The context distribution p(w) of a particular ambiguous word w can be modelled as a linear combination of the context distributions of the various clusters.,Experiment/Discussion
We can find the mixing coefficients by minimising efficients that sum to unity and the qi are the context distributions of the clusters.,Experiment/Discussion
"A minimum of this function can be found using the EM algorithm(Dempster et al., 1977).",Experiment/Discussion
There are often several local minima — in practice this does not seem to be a major problem.,Experiment/Discussion
"Note that with rare words, the KL divergence reduces to the log likelihood of the word's context distribution plus a constant factor.",Experiment/Discussion
"However, the observed context distributions of rare words may be insufficient to make a definite determination of its cluster membership.",Experiment/Discussion
"In this case, under the assumption that the word is unambiguous, which is only valid for comparatively rare words, we can use Bayes's rule to calculate the posterior probability that it is in each class, using as a prior probability the distribution of rare words in each class.",Experiment/Discussion
"This incorporates the fact that rare words are much more likely to be adjectives or nouns than, for example, pronouns.",Experiment/Discussion
"I used 12 million words of the British National Corpus as training data, and ran this algorithm with various numbers of clusters (77, 100 and 150).",Results/Conclusion
"All of the results in this paper are produced with 77 clusters corresponding to the number of tags in the CLAWS tagset used to tag the BNC, plus a distinguished sentence boundary token.",Results/Conclusion
"In each case, the clusters induced contained accurate classes corresponding to the major syntactic categories, and various subgroups of them such as prepositional verbs, first names, last names and so on.",Results/Conclusion
